Isolate_ID,year,cluster_id,US_region,Michigan_human,Michigan_cattle
103797,2017,Cluster 1,Region 2,No,No
103804,2017,Cluster 1,Region 9,No,No
103829,2017,Cluster 1,Region 4,No,No
103839,2017,Cluster 1,Region 4,No,No
103847,2017,Cluster 1,Region 5,No,No
103876,2017,Cluster 1,Region 8,No,No
103886,2017,Cluster 1,Region 7,No,No
103912,2017,Cluster 2,Region 4,No,No
103923,2017,Cluster 1,Region 9,No,No
103927,2017,Cluster 1,Region 7,No,No
103986,2017,Cluster 1,Region 2,No,No
103992,2017,Cluster 2,Region 9,No,No
104034,2017,Cluster 1,Region 2,No,No
104079,2017,Cluster 2,Region 5,No,No
104092,2017,Cluster 1,Region 7,No,No
104099,2017,Cluster 2,Region 5,No,No
104104,2017,Cluster 1,Region 5,No,No
104107,2017,Cluster 2,Region 9,No,No
104114,2017,Cluster 1,Region 10,No,No
104119,2016,Cluster 1,Region 9,No,No
104165,2016,Cluster 1,Region 5,No,No
104176,2016,Cluster 1,Region 8,No,No
104197,2016,Cluster 1,Region 5,No,No
104201,2016,Cluster 1,Region 6,No,No
104214,2016,Cluster 2,Region 5,No,No
104221,2016,Cluster 1,Region 3,No,No
104250,2016,Cluster 2,Region 10,No,No
104255,2015,Cluster 1,Region 6,No,No
104259,2015,Cluster 1,Region 4,No,No
104264,2015,Cluster 1,Region 5,No,No
104299,2015,Cluster 1,Region 7,No,No
104311,2015,Cluster 1,Region 4,No,No
104314,2015,Cluster 1,Region 10,No,No
104343,2015,Cluster 5,Region 4,No,No
104354,2015,Cluster 1,Region 6,No,No
104355,2015,Cluster 2,Region 8,No,No
104364,2015,Cluster 2,Region 5,No,No
104419,2019,Cluster 1,Region 2,No,No
104433,2019,Cluster 1,Region 7,No,No
104436,2019,Cluster 1,Region 9,No,No
104484,2019,Cluster 2,Region 6,No,No
104511,2019,Cluster 2,Region 9,No,No
104526,2019,Cluster 1,Region 10,No,No
104546,2018,Cluster 2,Region 10,No,No
104548,2018,Cluster 2,Region 9,No,No
104556,2018,Cluster 2,Region 7,No,No
104587,2019,Cluster 1,Region 8,No,No
104665,2018,Cluster 1,Region 4,No,No
104667,2019,Cluster 1,Region 9,No,No
104687,2018,Cluster 1,Region 8,No,No
104691,2018,Cluster 1,Region 9,No,No
104719,2019,Cluster 1,Region 7,No,No
104798,2019,Cluster 1,Region 9,No,No
104805,2019,Cluster 1,Region 3,No,No
104817,2018,Cluster 1,Region 5,No,No
104821,2019,Cluster 1,Region 7,No,No
104867,2018,Cluster 1,Region 5,No,No
104891,2018,Cluster 1,Region 3,No,No
104904,2018,Cluster 2,Region 9,No,No
104932,2018,Cluster 1,Region 5,No,No
104990,2018,Cluster 1,Region 5,No,No
105014,2018,Cluster 4,Region 5,No,No
105017,2018,Cluster 1,Region 9,No,No
105020,2018,Cluster 4,Region 6,No,No
105042,2018,Cluster 1,Region 7,No,No
105060,2018,Singleton,Region 1,No,No
105092,2018,Cluster 2,Region 10,No,No
105128,2018,Cluster 2,Region 9,No,No
105148,2018,Cluster 2,Region 9,No,No
105196,2018,Cluster 1,Region 7,No,No
105199,2018,Cluster 1,Region 5,No,No
105215,2018,Cluster 1,Region 6,No,No
105216,2018,Cluster 2,Region 8,No,No
105220,2018,Cluster 1,Region 5,No,No
105221,2018,Cluster 2,Region 5,No,No
105281,2018,Cluster 1,Region 3,No,No
105297,2018,Cluster 1,Region 3,No,No
105313,2018,Cluster 2,Region 9,No,No
105326,2018,Cluster 2,Region 9,No,No
105329,2018,Cluster 1,Region 7,No,No
105397,2018,Cluster 1,Region 10,No,No
105419,2018,Cluster 2,Region 4,No,No
105420,2018,Cluster 1,Region 9,No,No
105440,2018,Cluster 1,Region 3,No,No
113029,2015,Cluster 1,Region 4,No,No
120025,2019,Cluster 2,Region 5,No,No
120051,2019,Cluster 2,Region 10,No,No
120200,2019,Cluster 2,Region 5,No,No
120287,2019,Singleton,Region 9,No,No
120317,2019,Cluster 1,Region 4,No,No
120351,2019,Cluster 1,Region 9,No,No
120382,2019,Cluster 1,Region 4,No,No
120433,2019,Cluster 1,Region 9,No,No
120453,2019,Cluster 1,Region 3,No,No
120538,2019,Cluster 2,Region 4,No,No
120593,2019,Cluster 2,Region 8,No,No
120607,2019,Cluster 1,Region 8,No,No
120629,2019,Cluster 2,Region 10,No,No
120672,2019,Cluster 1,Region 5,No,No
120708,2019,Cluster 1,Region 10,No,No
120791,2019,Cluster 2,Region 9,No,No
120891,2019,Cluster 1,Region 7,No,No
120911,2019,Cluster 1,Region 6,No,No
120929,2019,Cluster 1,Region 7,No,No
120962,2019,Cluster 1,Region 5,No,No
120968,2019,Cluster 1,Region 4,No,No
120969,2019,Cluster 1,Region 10,No,No
120975,2019,Cluster 2,Region 5,No,No
120991,2019,Cluster 2,Region 5,No,No
121023,2019,Cluster 1,Region 6,No,No
121106,2019,Cluster 1,Region 10,No,No
121107,2019,Cluster 1,Region 10,No,No
121111,2019,Cluster 1,Region 3,No,No
121156,2019,Cluster 2,Region 10,No,No
121168,2019,Cluster 1,Region 9,No,No
121172,2019,Cluster 2,Region 5,No,No
121240,2019,Cluster 1,Region 10,No,No
121241,2019,Cluster 1,Region 8,No,No
121252,2019,Singleton,Region 3,No,No
121272,2019,Singleton,Region 5,No,No
121323,2019,Cluster 2,Region 9,No,No
121333,2019,Cluster 1,Region 5,No,No
121344,2019,Cluster 1,Region 1,No,No
121408,2019,Cluster 1,Region 9,No,No
121436,2019,Cluster 1,Region 10,No,No
121441,2019,Cluster 1,Region 2,No,No
121599,2019,Cluster 1,Region 4,No,No
121600,2019,Cluster 1,Region 8,No,No
121614,2019,Cluster 2,Region 9,No,No
121743,2019,Singleton,Region 3,No,No
121751,2019,Cluster 2,Region 10,No,No
121776,2019,Cluster 1,Region 5,No,No
121784,2019,Cluster 2,Region 8,No,No
121793,2019,Cluster 2,Region 9,No,No
121828,2019,Cluster 1,Region 4,No,No
121859,2019,Cluster 1,Region 10,No,No
121920,2019,Cluster 1,Region 5,No,No
121994,2019,Cluster 2,Region 6,No,No
122003,2019,Cluster 2,Region 5,No,No
122177,2019,Cluster 1,Region 7,No,No
122229,2019,Cluster 2,Region 8,No,No
122255,2019,Cluster 1,Region 3,No,No
122274,2019,Cluster 1,Region 6,No,No
122277,2019,Cluster 1,Region 9,No,No
122703,2019,Cluster 1,Region 9,No,No
122710,2020,Cluster 1,Region 4,No,No
122757,2020,Cluster 1,Region 5,No,No
122901,2020,Cluster 2,Region 5,No,No
122907,2020,Cluster 1,Region 9,No,No
122949,2020,Cluster 1,Region 7,No,No
123016,2020,Cluster 2,Region 9,No,No
123098,2020,Cluster 1,Region 10,No,No
123230,2020,Cluster 1,Region 3,No,No
123289,2020,Cluster 1,Region 1,No,No
123294,2020,Cluster 1,Region 5,No,No
123498,2020,Cluster 2,Region 10,No,No
123499,2020,Cluster 2,Region 5,No,No
123504,2020,Cluster 3,Region 7,No,No
123509,2020,Cluster 2,Region 5,No,No
123908,2020,Cluster 1,Region 4,No,No
123953,2020,Cluster 1,Region 9,No,No
124221,2020,Cluster 1,Region 3,No,No
124326,2020,Cluster 1,Region 6,No,No
124329,2020,Cluster 1,Region 2,No,No
124340,2020,Cluster 2,Region 6,No,No
124394,2020,Cluster 2,Region 8,No,No
124549,2020,Cluster 1,Region 9,No,No
124689,2020,Cluster 1,Region 5,No,No
124702,2020,Cluster 1,Region 7,No,No
124791,2020,Cluster 1,Region 6,No,No
124792,2020,Cluster 2,Region 6,No,No
124798,2020,Cluster 2,Region 10,No,No
124799,2020,Cluster 1,Region 10,No,No
124904,2020,Cluster 2,Region 9,No,No
124953,2020,Cluster 1,Region 10,No,No
124980,2020,Cluster 1,Region 7,No,No
124995,2020,Cluster 1,Region 7,No,No
125020,2020,Cluster 1,Region 3,No,No
125077,2020,Cluster 1,Region 10,No,No
125104,2020,Cluster 1,Region 9,No,No
125182,2020,Cluster 2,Region 5,No,No
125411,2020,Cluster 2,Region 10,No,No
125418,2020,Cluster 1,Region 6,No,No
125532,2020,Cluster 1,Region 10,No,No
125553,2020,Cluster 2,Region 9,No,No
125561,2020,Cluster 2,Region 5,No,No
125654,2020,Cluster 1,Region 7,No,No
125660,2020,Cluster 1,Region 9,No,No
125767,2020,Cluster 1,Region 7,No,No
125771,2020,Cluster 2,Region 7,No,No
125981,2020,Cluster 1,Region 8,No,No
126024,2020,Singleton,Region 9,No,No
126094,2020,Cluster 1,Region 7,No,No
126160,2020,Cluster 2,Region 5,No,No
126184,2020,Singleton,Region 3,No,No
126199,2020,Cluster 1,Region 6,No,No
126257,2020,Cluster 1,Region 8,No,No
126378,2021,Cluster 2,Region 2,No,No
126421,2021,Cluster 2,Region 10,No,No
126527,2021,Cluster 1,Region 8,No,No
126529,2021,Cluster 2,Region 10,No,No
126614,2021,Cluster 2,Region 9,No,No
126630,2021,Cluster 1,Region 8,No,No
126631,2021,Cluster 1,Region 7,No,No
126686,2021,Cluster 1,Region 1,No,No
126755,2021,Cluster 1,Region 4,No,No
126834,2021,Cluster 2,Region 9,No,No
126839,2021,Cluster 1,Region 9,No,No
126975,2021,Cluster 1,Region 10,No,No
127108,2021,Cluster 2,Region 10,No,No
127114,2021,Cluster 2,Region 6,No,No
127221,2021,Cluster 1,Region 6,No,No
127241,2021,Cluster 5,Region 3,No,No
127242,2021,Cluster 1,Region 5,No,No
127300,2020,Cluster 1,Region 1,No,No
127342,2020,Cluster 1,Region 6,No,No
127449,2021,Cluster 1,Region 2,No,No
127456,2021,Cluster 2,Region 5,No,No
127517,2021,Cluster 2,Region 3,No,No
127524,2021,Cluster 1,Region 9,No,No
127711,2021,Cluster 2,Region 8,No,No
127719,2021,Cluster 1,Region 10,No,No
127726,2021,Cluster 1,Region 4,No,No
127742,2021,Cluster 2,Region 9,No,No
127747,2021,Cluster 2,Region 5,No,No
